0,N/A,
1,Wii,
2,NES,
3,GB,
4,DS,
5,X360,
6,PS3,
7,PS2,
8,SNES,
9,GBA,
10,3DS,
11,PS4,
12,N64,
13,PS,
14,XB,
15,PC,
16,PSP,
17,XOne,
18,GC,
19,WiiU,
20,GEN,
