102,Call of Duty: Black Ops 3,17,2015,6,5,7.3
103,Just Dance,1,2009,0,6,7.27
104,Battlefield 3,6,2011,6,8,7.23
105,Need for Speed Underground,7,2003,3,8,7.2
106,Tekken 3,13,1998,9,4,7.16
107,Crash Bandicoot 3: Warped,13,1998,2,4,7.13
108,Super Smash Bros. Melee,18,2001,9,1,7.07
109,Mario Kart 8,19,2014,3,1,6.96
110,Fallout 4,11,2015,4,7,6.96
111,Mario Kart: Double Dash!!,18,2003,3,1,6.95
112,Just Dance 4,1,2012,0,6,6.91
113,FIFA 14,6,2013,1,8,6.9
114,Need for Speed Underground 2,7,2004,3,8,6.9
115,Medal of Honor: Frontline,7,2002,6,8,6.83
116,Uncharted 3: Drake's Deception,6,2011,8,4,6.83
117,Crash Bandicoot,13,1996,2,4,6.82
118,Zumba Fitness,1,2010,1,12,6.81
119,Gears of War 2,5,2008,6,2,6.76
120,Uncharted 2: Among Thieves,6,2009,8,4,6.73
121,Call of Duty 4: Modern Warfare,6,2007,6,5,6.72
122,FIFA 12,6,2011,1,8,6.69
123,Big Brain Academy,4,2005,0,1,6.67
124,Red Dead Redemption,6,2010,8,3,6.6
125,FIFA 15,11,2014,1,8,6.59
126,Donkey Kong Country Returns,1,2010,2,1,6.59
127,The Elder Scrolls V: Skyrim,6,2011,4,7,6.56
128,The Legend of Zelda,2,1986,8,1,6.51
129,Assassin's Creed III,6,2012,8,6,6.5
130,Halo: Combat Evolved,14,2001,6,2,6.43
131,Pokémon Emerald Version,9,2004,4,1,6.41
132,Kingdom Hearts,7,2002,4,4,6.4
133,Pokémon Crystal Version,3,2000,4,1,6.39
134,Halo 3: ODST,5,2009,6,2,6.36
135,Red Dead Redemption,5,2010,8,3,6.34
136,Super Mario Sunshine,18,2002,2,1,6.31
137,Street Fighter II: The World Warrior,8,1992,9,13,6.3
138,World of Warcraft,15,2004,4,5,6.28
139,Driver,13,1999,8,14,6.27
140,Kinect Sports,5,2010,1,2,6.24
141,Gears of War 3,5,2011,6,2,6.24
142,Gears of War,5,2006,6,2,6.11
143,Metal Gear Solid 2: Sons of Liberty,7,2001,8,15,6.05
144,Sonic the Hedgehog 2,20,1992,2,9,6.03
145,Metal Gear Solid 4: Guns of the Patriots,6,2008,8,15,6.03
146,Metal Gear Solid,13,1998,8,15,6.03
147,The Last of Us,6,2013,8,16,5.99
148,Final Fantasy XII,7,2006,4,10,5.95
149,Little Big Planet,6,2008,2,4,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,4,2009,4,1,5.84
151,LEGO Star Wars: The Complete Saga,1,2007,8,17,5.83
